001a5d1a06030005030005db3c	93	response.currentStatus.CGMRateAlertSettingsResponse	CGMRateAlertSettingsResponse[fallRateDefaultBitmask=5,fallRateEnabled=0,fallRateThreshold=3,riseRateDefaultBitmask=5,riseRateEnabled=0,riseRateThreshold=3,cargo={3,0,5,3,0,5}]
001b5e1b00da56	94	request.currentStatus.CGMOORAlertSettingsRequest	CGMOORAlertSettingsRequest[cargo={}]
001b5f1b03140105c934	95	response.currentStatus.CGMOORAlertSettingsResponse	CGMOORAlertSettingsResponse[sensorTimeoutAlertEnabled=1,sensorTimeoutAlertThreshold=20,sensorTimeoutDefaultBitmask=5,cargo={20,1,5}]
001c601c00e911	96	request.currentStatus.CGMHardwareInfoRequest	CGMHardwareInfoRequest[cargo={}]
001c611c113030303030310000000000000000000002d2cc	97	response.currentStatus.CGMHardwareInfoResponse	CGMHardwareInfoResponse[hardwareInfoString=000001,lastByte=2,cargo={48,48,48,48,48,49,0,0,0,0,0,0,0,0,0,0,2}]
001db21d002c29	-78	request.currentStatus.ControlIQInfoV2Request	ControlIQInfoV2Request[cargo={}]
001db31d130000000000000000040000000000000000000095d3	-77	response.currentStatus.ControlIQInfoV2Response	ControlIQInfoV2Response[byte6=0,byte7=0,byte8=4,closedLoopEnabled=false,controlStateType=0,currentUserModeType=0,exerciseChoice=0,exerciseDuration=0,totalDailyInsulin=0,weight=0,weightUnit=0,cargo={0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0}]
001e901e00d994	-112	request.control.ChangeCartridgeRequest <OR> request.currentStatus.CurrentBatteryV2Request	CurrentBatteryV2Request[cargo={}]
001e911e0b6464000000000000000000fa96	-111	response.control.ChangeCartridgeResponse <OR> response.currentStatus.CurrentBatteryV2Response	CurrentBatteryV2Response[chargingStatus=0,currentBatteryAbc=100,currentBatteryIbc=100,unknown1=0,unknown2=0,unknown3=0,unknown4=0,cargo={100,100,0,0,0,0,0,0,0,0,0}]
001f6c1f00db31	108	request.currentStatus.ControlIQIOBRequest	ControlIQIOBRequest[cargo={}]
001f6d1f110000000000000000000000000000000000075b	109	response.currentStatus.ControlIQIOBResponse	ControlIQIOBResponse[iobType=0,mudaliarIOB=0,mudaliarTotalIOB=0,swan6hrIOB=0,timeRemainingSeconds=0,cargo={0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}]
0020502000b494	80	request.currentStatus.CGMStatusRequest	CGMStatusRequest[cargo={}]
002051200a00000000000000000000964d	81	response.currentStatus.CGMStatusResponse	CGMStatusResponse[lastCalibrationTimestamp=0,sensorStartedTimestamp=0,sessionStateId=0,transmitterBatteryStatusId=0,cargo={0,0,0,0,0,0,0,0,0,0}]
0021222100ed11	34	request.currentStatus.CurrentEGVGuiDataRequest	CurrentEGVGuiDataRequest[cargo={}]
00212321080000000000000400fcb5	35	response.currentStatus.CurrentEGVGuiDataResponse	CurrentEGVGuiDataResponse[bgReadingTimestampSeconds=0,cgmReading=0,egvStatus=4,trendRate=0,cargo={0,0,0,0,0,0,4,0}]
0022a4220044cd	-92	request.currentStatus.LastBolusStatusV2Request	LastBolusStatusV2Request[cargo={}]
0022a522180000000000000000000000000000000000000000000000001436	-91	response.currentStatus.LastBolusStatusV2Response	LastBolusStatusV2Response[bolusId=0,bolusSourceId=0,bolusStatusId=0,bolusTypeBitmask=0,deliveredVolume=0,extendedBolusDuration=0,requestedVolume=0,status=0,timestamp=0,cargo={0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}]
00233a23004d9d	58	request.currentStatus.HistoryLogStatusRequest	HistoryLogStatusRequest[cargo={}]
00233b230cd811000000000000d7110000b61c	59	response.currentStatus.HistoryLogStatusResponse	HistoryLogStatusResponse[firstSequenceNum=0,lastSequenceNum=4567,numEntries=4568,cargo={-40,17,0,0,0,0,0,0,-41,17,0,0}]
0024b224002196	-78	request.currentStatus.ControlIQInfoV2Request	ControlIQInfoV2Request[cargo={}]
0024b3241300000000000000000400000000000000000000634a	-77	response.currentStatus.ControlIQInfoV2Response	ControlIQInfoV2Response[byte6=0,byte7=0,byte8=4,closedLoopEnabled=false,controlStateType=0,currentUserModeType=0,exerciseChoice=0,exerciseDuration=0,totalDailyInsulin=0,weight=0,weightUnit=0,cargo={0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0}]
00256a25002569	106	request.currentStatus.ControlIQSleepScheduleRequest	ControlIQSleepScheduleRequest[cargo={}]
00256b251800006405a40100006405a40100006405a40100006405a401ba86	107	response.currentStatus.ControlIQSleepScheduleResponse	ControlIQSleepScheduleResponse[schedule0=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule1=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule2=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule3=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],cargo={0,0,100,5,-92,1,0,0,100,5,-92,1,0,0,100,5,-92,1,0,0,100,5,-92,1}]
00266a2600763c	106	request.currentStatus.ControlIQSleepScheduleRequest	ControlIQSleepScheduleRequest[cargo={}]
00266b261800006405a40100006405a40100006405a40100006405a4013862	107	response.currentStatus.ControlIQSleepScheduleResponse	ControlIQSleepScheduleResponse[schedule0=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule1=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule2=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],schedule3=ControlIQSleepScheduleResponse.SleepSchedule[activeDays=0,enabled=0,endTime=420,startTime=1380],cargo={0,0,100,5,-92,1,0,0,100,5,-92,1,0,0,100,5,-92,1,0,0,100,5,-92,1}]
0027362700e824	54	request.currentStatus.TimeSinceResetRequest	TimeSinceResetRequest[cargo={}]
00273727085cbf8d1a830c0000a147	55	response.currentStatus.TimeSinceResetResponse	TimeSinceResetResponse[currentTime=445497180,pumpTimeSinceReset=3203,cargo={92,-65,-115,26,-125,12,0,0}]
0028362800d634	54	request.currentStatus.TimeSinceResetRequest	TimeSinceResetRequest[cargo={}]
002837280899bf8d1ac00c0000bfa7	55	response.currentStatus.TimeSinceResetResponse	TimeSinceResetResponse[currentTime=445497241,pumpTimeSinceReset=3264,cargo={-103,-65,-115,26,-64,12,0,0}]
0101120116010018755c365e2010868fb551771a0001347a1134cf9ac1ecea	18	request.authentication.PumpChallengeRequest	PumpChallengeRequest[appInstanceId=1,pumpChallengeHash={24,117,92,54,94,32,16,-122,-113,-75,81,119,26,52,122,17,52,-49,-102,-63},cargo={1,0,24,117,92,54,94,32,16,-122,-113,-75,81,119,26,52,122,17,52,-49,-102,-63}]
0001130103010001e8cc	19	response.authentication.PumpChallengeResponse	PumpChallengeResponse[appInstanceId=1,success=true,cargo={1,0,1}]
0002200200382c	32	request.currentStatus.ApiVersionRequest	ApiVersionRequest[cargo={}]
0002210204020005008237	33	response.currentStatus.ApiVersionResponse	ApiVersionResponse[majorVersion=2,minorVersion=5,cargo={2,0,5,0}]
0003540300c11b	84	request.currentStatus.PumpVersionRequest	PumpVersionRequest[cargo={}]
